array size(KB),stride 16(ns),stride 32(ns),stride 64(ns),stride 128(ns),stride 256(ns),stride 512(ns),stride 1024(ns),stride 2048(ns),stride 4096(ns),stride 8192(ns)
0.50176,1.255,1.255,1.255,1.255,1.255,1.255,N/A,N/A,N/A,N/A
1.00352,1.255,1.255,1.255,1.255,1.255,1.255,1.255,N/A,N/A,N/A
1.9968,1.255,1.255,1.255,1.255,1.255,1.255,1.255,1.255,N/A,N/A
3.00032,1.255,1.255,1.255,1.255,1.255,1.255,1.255,1.255,N/A,N/A
4.00384,1.255,1.255,1.255,1.255,1.255,1.255,1.255,1.255,1.255,N/A
6.00064,1.255,1.255,1.255,1.255,1.255,1.255,1.255,1.255,1.255,N/A
7.99744,1.255,1.255,1.255,1.255,1.255,1.255,1.255,1.255,1.255,1.255
10.00448,1.255,1.255,1.255,1.255,1.255,1.255,1.255,1.255,1.255,1.255
12.00128,1.256,1.256,1.257,1.255,1.255,1.255,1.255,1.255,1.255,1.339
13.99808,1.255,1.255,1.255,1.255,1.255,1.255,1.255,1.255,1.255,1.255
15.99488,1.339,1.256,1.256,1.255,1.255,1.255,1.255,1.255,1.255,1.255
18.00192,1.255,1.255,1.255,1.255,1.255,1.255,1.255,1.255,1.255,1.255
19.99872,1.255,1.256,1.256,1.255,1.49,1.255,1.49,1.255,1.255,1.255
21.99552,1.256,1.255,1.256,1.255,1.386,1.255,1.489,1.255,1.255,1.255
24.00256,1.256,1.256,1.256,1.255,1.489,1.255,1.386,1.255,1.255,1.255
25.99936,1.256,1.256,1.256,1.256,1.49,1.255,1.489,1.255,1.255,1.255
27.99616,1.256,1.257,1.257,1.256,1.386,1.255,1.386,1.255,1.255,1.255
30.0032,1.256,1.257,1.257,1.256,1.339,1.255,1.386,1.255,1.255,1.255
32,1.266,1.282,1.307,1.256,1.387,1.255,1.386,1.255,1.255,1.255
36.00384,1.592,2.802,4.35,4.393,4.686,4.393,4.393,4.393,4.393,1.255
39.99744,1.591,2.802,4.35,3.913,4.393,4.393,4.393,4.393,4.393,1.255
44.00128,1.64,2.802,4.35,3.956,4.393,4.393,4.393,4.393,4.393,1.255
48.00512,1.633,2.802,4.349,4.206,4.393,4.393,4.393,4.393,4.393,1.255
51.99872,1.629,2.801,4.349,4.393,3.756,4.393,4.393,4.393,4.393,1.255
56.00256,1.622,2.801,4.348,4.393,3.802,4.393,4.393,4.393,5.213,1.255
59.99616,1.618,2.801,4.348,4.393,3.769,4.393,4.393,4.393,5.211,1.255
64,1.596,2.801,4.348,4.393,4.393,4.393,4.393,4.393,5.211,1.255
71.99744,1.592,2.801,4.347,4.126,4.393,4.393,4.393,4.393,5.211,4.393
79.99488,1.618,2.801,4.347,4.232,4.393,4.393,4.393,4.393,4.85,4.393
88.00256,1.613,2.801,4.347,4.393,4.219,4.393,4.393,4.393,5.212,4.393
